thirty days,Volume,No of  Sales,Average Floor Price,Owners
A smile worth ALOTTAMONEY,8.277327082608457,23,0.5493801161023312,4279
Venusian Team Epic by Alotta Money,8.240701741534968,1,24.416894048992496,30
Crystal Collage,8.240701741534968,1,0.0,40
heaven.,8.240701741534968,1,12.147404789373768,10
#6 Killer,8.240701741534968,15,18.312670536744374,11
Bomb Epic,8.240701741534968,1,19.533515239194,27
Nasami,8.118617271290006,7,0.0,7
Ecstasy,8.057575036167524,4,152605.5878062031,4
Cliff.RAW,7.969063795239927,1,0.0,15
Primitivo #1 - Blue,7.935490565922562,13,8545.912917147374,10
DREAMY POPULATION,7.935490565922562,1,36.62534107348875,9
Rocket Classic,7.731609500613474,1,27.46900580511656,31
MEMORIES RADAR,7.709023873618157,5,2.532642335231747,1254
Mars,7.630279390310156,1,42.42435341012447,313
Soap Box (Steven Baltay),7.630279390310156,1,18.312670536744374,49
Lunaris,7.630279390310156,5,427295.6458573687,5
Bompparam (Spring Breeze) by Noealz x GreyRadian x Rikognition,7.630279390310156,1,15.260558780620311,46
Galaxia,7.630279390310156,5,427295.6458573687,5
COOKIN UP,7.630279390310156,2,1587.0981131845124,13
SUPER SATOSHI 04 SENSING THE APPROACH OF DOOM,7.630279390310156,1,23.806471697767684,85
odontophobia,7.630279390310156,1,7.630279390310156,87
The Garden's Protector,7.630279390310156,25,0.9156335268372187,17
SOLAR SPACE,7.53566392587031,1,427295.6458573687,1
"Block 7 (43.804626° N, 11.292813° E)",7.447152684942711,1,21.364782292868433,25
BBX Silver Edition Octavo v.01,7.417852412083921,6,33.573229317364685,28
Expanse,7.38611044982023,121,0.12208447024496248,20
EVOL hideout (KidEight),7.325068214697749,1,15.260558780620311,32
Queen Rumors,7.325068214697749,12,120.19216095616557,8
akiha streetwalker animation,7.325068214697749,3,0.0,3
Beauty in Disarray,7.325068214697749,15,4.639209869308575,9
preserve my legacy,7.325068214697749,1,33.87844049297709,58
The Alchemist 2,7.325068214697749,6,0.0,7
HARAJUKU,7.325068214697749,3,0.0,4
Bomb Legendary,7.325068214697749,1,36.62534107348875,16
Satyr,7.3043138547561055,8,76302.79390310156,6
7th day of the 7th month - (Summer),7.202983744452787,2,0.0,2
Alottaship Classic by Alotta Money,7.080899274207824,1,30.521117561240622,79
hell.,7.019857039085343,1,12.147404789373768,10
Schmok Mathematics,7.019857039085343,1,42.72956458573687,24
Virtual Adele Bloch-Bauer I,6.775688098595418,37,1.0987602322046623,19
Stained By Me,6.714645863472937,11,0.0,9
DO YOU STILL LOVE ME,6.714645863472937,2,9.095293033249705,49
IN DOGE WE TRUST,6.704268683502115,3,4.395040928818649,274
Opening Doors,6.653603628350456,1,12.75782714059858,173
the forgotten astronaut,6.5925613932279745,1,14.955347605007905,80
Noi,6.4704769229830115,2,4.211914223451206,33
Angels and Demons,6.40943468786053,7,0.9156335268372187,7
"game over, please try again",6.40943468786053,7,610.36130898969,5
PEACE,6.40943468786053,1,12.208447024496248,134
Lost in Sands,6.40943468786053,18,1.4039714078170686,11
Individuality,6.357548788006421,36,0.7935490565922562,21
Feeling Exploding,6.348392452738049,8,122.02342800984,7
Pitcher,6.348392452738049,8,3.052111756124062,5
BBX Silver Edition (Shattered) v.01 music by Stargate,6.18357841790735,5,152.60558780620312,6
Fishbowl,6.165265747370605,5,1.8923092887969186,15
Nonbei Yokocho,6.105444356950574,2,4.822336574676018,152
MC Supersized,6.104223512248124,1,23.135007111420393,22
Cloud 9,6.104223512248124,1,18.007459361131968,142
Self-Discovery,6.104223512248124,2,4.5781676341860935,3
Borderline,6.104223512248124,4,2.991069521001581,5
Self-Reflection,6.104223512248124,2,0.0,3
Monument Crystal Mask,6.104223512248124,4,0.0,5
∞!=lim,6.104223512248124,10,12.147404789373768,6
Diversified Funds,6.104223512248124,1,44.86604281502371,44
Space Trader,6.104223512248124,1,30.521117561240622,16
Need Connection,6.104223512248124,1,8.545912917147374,57
255/1000,6.104223512248124,4,0.0,4
Oreon Space Cargo,6.104223512248124,10,14.650136429395499,6
ReFurbished Q.T.,6.104223512248124,1,54.87696937511064,21
RAINBOW DUCK,6.104223512248124,10,3.052111756124062,9
"Space Trader 2 ""Nifty Collector""",6.104223512248124,1,22.52458476019558,7
Psychedelic Meditation,6.1036130898969,1,427295.6458573687,1
Elite Market,6.085300419360155,1,0.0,1
[ANIMATION] THE LAST SUPPER 02,6.085300419360155,1,0.0,1
Boss Fight Animated + 1/1 NFT,6.043181277125643,1,24.355851813870014,37
Virtuous Cycles-04,6.043181277125643,1,0.0,2
Boss Fight Animated + 1/1 NFT,6.043181277125643,1,24.355851813870014,37
#7 The hiding place,6.043181277125643,11,180074.59361131967,6
Virtuous Cycles-02,6.043181277125643,1,0.0,2
Milk Girl,6.043181277125643,1,0.0,2
MIXED FEELINGS,6.043181277125643,1,6.043181277125643,362
Monument Factory,6.043181277125643,33,1.46501364293955,13
Saint Pepe,6.043181277125643,1,0.0,2
Pepe Leading the People,6.043181277125643,1,0.0,2
#129 Continue? | Fragile,6.043181277125643,11,0.0,9
Last Faith,6.043181277125643,9,91563.35268372187,7
Crystal Pop,5.992516221973983,9,0.4272956458573687,3004
Out Of My Mind,5.921096806880681,3,2.3196049346542873,271
Dance of Colors: Digital Dreams,5.8600545717582,8,7.264025979575268,6
God Save the Queen,5.719047008625267,1,36.56429883836626,15
Prison #3,5.6763174440395305,3,4.700252104431056,7
Intransigent Bonds,5.615885631268275,4,0.0,4
ALONE,5.510892986857606,3,8.85112409275978,95
BONUS DUCK,5.4938011610233115,27,0.6098119288735876,14
Dooley,5.4938011610233115,30,0.48772745862862515,18
Penitence,5.4938011610233115,9,22.52458476019558,8
Fanto Star Fighter,5.4938011610233115,9,0.0,5
Primitivo #1 - Green,5.4938011610233115,18,36.56429883836626,11
Virtual Tree of Life,5.4938011610233115,30,0.9766757619596999,16
Nescofe Asteroid Miner,5.4938011610233115,9,0.0,6
Wander,5.4938011610233115,6,83.56681988267682,4
"AN UNIMAGINABLE FUTURE , v1",5.401627385988365,2,0.0,3
Sole Identity,5.214838146513572,48,0.4272956458573687,27
Aku Chapter VI: Home,5.188589985410906,1,14.589094194273017,1397
Turtle,5.188589985410906,1,0.0,1
Chrome Boombox WHT 2.22.2022,5.188589985410906,1,6.043181277125643,22
"Say, Bee...",5.188589985410906,17,60.98119288735876,8
Never Stop,5.188589985410906,17,0.9156335268372187,10
Insufficient Frames,5.127547750288424,7,0.0,7
The valley of death,5.066505515165943,77,0.4272956458573687,15
#133 Dimensions | Fragile,4.944421044920981,9,91563.35268372187,7
#131 Game Over | Fragile,4.944421044920981,9,0.0,8
#130 Insert Coin | Fragile,4.944421044920981,9,0.0,8
"SOCIAL IS GETTING ERRORED, THE DIFFERENCE IS GREATER",4.8833788097985,5,152605.5878062031,3
Aftermath,4.8833788097985,1,4.8833788097985,101
The Trump Crusader: A Presidential Gotham Tale,4.8833788097985,8,610.4223512248125,8
G-Vision,4.8833788097985,2,7.630279390310156,126
WEB3 CULT,4.8833788097985,1,15.321601015742791,10
useless (animated),4.8833788097985,2,152605.5878062031,2
akiha rainy street animation,4.8833788097985,2,0.0,2
UNFOUND ANIMATION,4.8833788097985,2,0.0,2
Campaign Posters,4.878495430988701,8,0.0,8
Ilusi,4.8644557169105305,1,0.0,1
JokerMickey,4.810128127651522,8,42.302268939879504,7
Believe You Can Fly,4.761294339553537,6,3033.5549166468277,4
Impostor,4.761294339553537,6,60.98119288735876,5
Spirit,4.700252104431056,1,15.260558780620311,134
Winter walk,4.700252104431056,11,0.0,8
Summer Mountain 1,4.700252104431056,1,0.0,2
Bitter Divisions,4.623949310527954,1,14.955347605007905,322
Defend Us In Battle,4.5781676341860935,1,48.772745862862514,11
Cheers,4.5781676341860935,1,0.0,6
Nature's Girls,4.5781676341860935,3,0.0,4
ZEN PROTOCOL,4.5781676341860935,1,30.46007532611814,15
Aurora,4.5781676341860935,3,0.0,3
Becoming Enough,4.5781676341860935,15,2.991069521001581,9
George Washington,4.5781676341860935,5,0.0,4
Coffee Time,4.5781676341860935,8,76302.79390310156,4
GOOSE GOOSE DUCK,4.5781676341860935,1,1526055.878062031,5
Dystopia,4.5781676341860935,13,6.043181277125643,5
Goldie,4.5781676341860935,1,0.0,1
Ethereal,4.5781676341860935,3,0.0,3
Vivid,4.5781676341860935,3,0.0,3
PARIS,4.5781676341860935,5,0.0,5
Sleeplessness for love,4.5781676341860935,5,91563.35268372187,4
